Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
Jinawi Yuliarti,9,0,S3,Bambu,Kayu,Genteng,3.5,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Maya Mangunsong,8,0,S2,Kayu,Semen,Asbes,3.5,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Zulaikha Habibi,10,4,S3,Bambu,Tanah,Genteng,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Laras Prayoga,8,4,D3,Kayu,Kayu,Asbes,1.3,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Capa Prakasa,5,5,S3,Tembok,Tanah,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Ana Yuniar,2,5,S1,Bambu,Semen,Seng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Genta Yulianti, M.Ak",8,6,D3,Tembok,Tanah,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Karsana Lailasari,7,0,SMA,Tembok,Semen,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Dr. Kunthara Hassanah,3,7,SD,Bambu,Tanah,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Hasan Anggraini, S.Farm",5,4,S2,Tembok,Keramik,Seng,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Queen Haryanto,3,2,SMA,Bambu,Tanah,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Elisa Hutasoit, S.Ked",7,3,SD,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Puti Nadine Namaga, M.TI.",3,4,S1,Kayu,Kayu,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Lintang Namaga,6,1,S3,Bambu,Semen,Seng,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Ajimin Mulyani,9,4,S2,Kayu,Keramik,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Hj. Jasmin Januar,8,0,SD,Kayu,Tanah,Asbes,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Cut Yance Napitupulu,4,1,Tidak Sekolah,Bambu,Semen,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Saka Hartati,3,3,S1,Tembok,Keramik,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Ghani Sinaga,7,4,SMA,Kayu,Kayu,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Cut Samiah Kuswoyo,9,4,D3,Kayu,Kayu,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Ratih Damanik,2,4,S1,Bambu,Semen,Asbes,6.6,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
Dt. Danang Usamah,2,6,SMP,Kayu,Kayu,Asbes,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Hj. Puput Hidayat, M.Kom.",4,6,Tidak Sekolah,Bambu,Tanah,Seng,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Eva Pertiwi,7,3,SMA,Kayu,Tanah,Seng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan C
Cut Diah Samosir,8,7,SMP,Bambu,Keramik,Seng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Jessica Napitupulu,4,0,S2,Tembok,Kayu,Genteng,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
"R. Jamalia Irawan, S.H.",2,1,SMA,Tembok,Keramik,Seng,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Paulin Najmudin,10,6,SD,Bambu,Keramik,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan B
Gamani Nainggolan,6,3,Tidak Sekolah,Bambu,Kayu,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Putri Nuraini,3,3,SD,Bambu,Kayu,Genteng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Embuh Adriansyah,2,7,SMP,Tembok,Semen,Seng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Putri Mahendra,7,5,S2,Bambu,Semen,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Yance Pratama,6,7,S3,Bambu,Kayu,Seng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Rizki Hardiansyah,8,0,D3,Kayu,Keramik,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Wardi Halimah,7,7,SMA,Bambu,Semen,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Purwanto Rahimah,2,1,S1,Tembok,Tanah,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Ulya Pranowo,2,7,SMA,Kayu,Tanah,Seng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
"Faizah Simanjuntak, S.Pd",1,4,D3,Bambu,Semen,Rumbia,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Setya Waskita,5,7,S3,Bambu,Semen,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Lidya Habibi, M.Pd",7,1,S2,Bambu,Semen,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Cemplunk Dongoran,3,0,SMP,Kayu,Kayu,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
drg. Bala Wibowo,1,5,S3,Tembok,Tanah,Genteng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Sutan Candra Firmansyah, S.I.Kom",2,6,Tidak Sekolah,Tembok,Tanah,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Nardi Farida,6,1,S2,Tembok,Kayu,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Timbul Mayasari,3,7,S3,Kayu,Kayu,Seng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Aslijan Mahendra,8,4,S3,Bambu,Tanah,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Kiandra Mulyani,10,6,S1,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Hilda Handayani,9,2,S1,Bambu,Semen,Rumbia,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Jamil Hidayanto,5,3,SMP,Bambu,Semen,Asbes,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Rachel Maryadi,1,3,SMA,Tembok,Keramik,Seng,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Dina Astuti,8,7,S2,Kayu,Keramik,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Puti Oktaviani,4,2,S3,Kayu,Semen,Asbes,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"Tgk. Gawati Thamrin, M.TI.",6,4,S1,Tembok,Keramik,Seng,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Nalar Mayasari,9,7,D3,Kayu,Semen,Seng,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Bagas Megantara,8,7,S3,Kayu,Semen,Rumbia,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Dr. Hartana Hakim, M.Farm",7,7,SMA,Kayu,Semen,Seng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Vivi Maryadi,5,6,SMP,Kayu,Keramik,Asbes,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Umaya Utami,9,5,S3,Kayu,Keramik,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Zalindra Maryadi,3,7,SMA,Bambu,Kayu,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
"Hj. Titin Suryono, S.E.",7,4,Tidak Sekolah,Kayu,Keramik,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Prayogo Hardiansyah,5,1,SMP,Kayu,Tanah,Genteng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Bakiadi Pratiwi,4,6,Tidak Sekolah,Bambu,Keramik,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Hilda Pradipta,1,6,SD,Bambu,Semen,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Hj. Salwa Mangunsong,4,0,SMA,Bambu,Keramik,Seng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Rina Hidayanto,6,1,Tidak Sekolah,Kayu,Tanah,Seng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Kusuma Rahayu,9,7,SMA,Kayu,Keramik,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
"Praba Kusmawati, S.T.",6,1,SD,Tembok,Kayu,Seng,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"KH. Adhiarja Kuswoyo, S.Kom",10,4,D3,Kayu,Keramik,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"drg. Bajragin Nashiruddin, M.Ak",5,0,S3,Tembok,Semen,Genteng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Kani Usada,1,1,S2,Bambu,Keramik,Asbes,6.6,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Salsabila Simanjuntak, S.E.I",3,1,SMA,Tembok,Tanah,Rumbia,6.6,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Puti Ami Simanjuntak, S.E.I",4,7,SMP,Kayu,Keramik,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan B
Marwata Habibi,3,3,S2,Tembok,Keramik,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"dr. Rosman Susanti, S.Farm",2,1,SD,Kayu,Semen,Asbes,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
Agus Nasyidah,2,2,Tidak Sekolah,Bambu,Semen,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Rahmat Nugroho,2,3,S1,Bambu,Semen,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Dadi Rajasa,3,5,S3,Kayu,Keramik,Seng,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan D
Aris Sudiati,2,3,SMA,Tembok,Tanah,Asbes,6.6,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Harimurti Widiastuti,6,7,S1,Bambu,Semen,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Bancar Uwais, S.H.",5,3,S3,Tembok,Keramik,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Icha Oktaviani,7,1,Tidak Sekolah,Bambu,Tanah,Seng,0.45,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Jabal Prayoga, S.Psi",8,4,Tidak Sekolah,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Jindra Prasetyo,1,5,S1,Bambu,Kayu,Seng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
Latif Pertiwi,7,0,S1,Kayu,Kayu,Asbes,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Pranata Thamrin,6,6,Tidak Sekolah,Bambu,Semen,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Iriana Uyainah,7,3,SMP,Kayu,Tanah,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Paris Natsir,10,5,SMA,Bambu,Keramik,Asbes,6.6,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Prabowo Yulianti,7,5,SD,Bambu,Tanah,Asbes,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Edison Siregar,9,3,S1,Kayu,Kayu,Asbes,0.45,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Tgk. Mujur Rajata, S.Pd",6,2,SMA,Tembok,Semen,Asbes,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Luluh Prasasta, M.Farm",2,7,SD,Tembok,Semen,Asbes,1.3,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Cemani Simanjuntak,1,6,D3,Bambu,Kayu,Genteng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"Dr. Paris Situmorang, S.Psi",8,0,S3,Kayu,Tanah,Seng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Danu Nashiruddin,7,3,S2,Kayu,Kayu,Seng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Danu Hidayat,1,1,S3,Tembok,Kayu,Rumbia,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
Pangeran Anggriawan,4,1,S3,Tembok,Kayu,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Yani Palastri,9,7,SMP,Tembok,Kayu,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
dr. Maya Melani,7,7,SMP,Tembok,Tanah,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
drg. Kezia Marbun,4,6,S3,Bambu,Semen,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Ir. Wani Laksita, M.Pd",2,4,S1,Bambu,Tanah,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Dwi Anggraini,2,0,Tidak Sekolah,Tembok,Kayu,Rumbia,6.6,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"R. Karsa Situmorang, M.Kom.",6,7,S2,Tembok,Keramik,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Sutan Wakiman Aryani, S.Gz",2,7,S3,Bambu,Kayu,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Ifa Kusmawati,5,6,S2,Kayu,Tanah,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Gatot Simanjuntak,1,0,SMP,Kayu,Tanah,Seng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Mulya Wasita,3,0,SD,Kayu,Semen,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Rahmi Rajasa,2,2,SMP,Bambu,Semen,Asbes,1.3,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Jaga Uyainah,7,7,SMP,Bambu,Keramik,Asbes,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
T. Satya Prasetyo,8,3,SD,Kayu,Tanah,Rumbia,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Rama Kuswoyo,10,2,S2,Tembok,Kayu,Seng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Lamar Sitompul,9,5,Tidak Sekolah,Bambu,Kayu,Asbes,1.3,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Chelsea Purnawati,9,7,SMA,Kayu,Keramik,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Silvia Rajasa,2,1,SMP,Kayu,Tanah,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
dr. Febi Kuswandari,8,5,D3,Tembok,Semen,Genteng,6.6,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"Tina Mulyani, M.Pd",5,1,SD,Tembok,Keramik,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"Harimurti Andriani, S.Psi",4,4,D3,Kayu,Semen,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
R. Yahya Yuliarti,10,0,S1,Bambu,Kayu,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"T. Jatmiko Sihombing, S.Ked",4,5,SMA,Tembok,Tanah,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Nurul Dabukke, M.M.",3,7,S3,Tembok,Tanah,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Rama Hassanah,3,7,S1,Tembok,Semen,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
"Hasan Lestari, M.TI.",5,1,S2,Tembok,Kayu,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Drs. Nadine Purwanti, S.E.",3,6,SD,Kayu,Keramik,Seng,0.45,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"drg. Prima Prastuti, S.E.",9,0,S3,Tembok,Kayu,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Jail Nababan,6,3,S1,Tembok,Kayu,Seng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Cahyadi Andriani,5,6,SMP,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"Dr. Puspa Kusmawati, M.M.",4,2,S1,Tembok,Kayu,Seng,6.6,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Liman Saputra,3,0,Tidak Sekolah,Kayu,Tanah,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Humaira Zulaika,10,5,D3,Kayu,Keramik,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Tgk. Queen Nasyidah,6,7,SMP,Kayu,Semen,Seng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Mila Prakasa,3,6,S2,Kayu,Keramik,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Purwadi Simanjuntak,6,6,D3,Tembok,Semen,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
H. Rahmat Suryatmi,4,6,S3,Tembok,Semen,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
dr. Mahdi Irawan,5,5,S2,Tembok,Semen,Seng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"T. Jindra Ardianto, S.T.",8,3,SMP,Kayu,Semen,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Oliva Widodo,1,1,SMA,Tembok,Semen,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Kania Kuswoyo,4,7,D3,Bambu,Tanah,Genteng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Chandra Kusumo,5,0,SMA,Kayu,Tanah,Genteng,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Tgk. Wardi Pradana,8,4,SD,Bambu,Tanah,Seng,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
R. Farah Santoso,8,1,SMP,Tembok,Semen,Seng,1.3,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
Wardi Hartati,9,4,D3,Tembok,Keramik,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"KH. Wira Winarsih, S.Kom",2,2,S3,Bambu,Kayu,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan D
"Mulya Wibisono, S.Pd",2,0,S3,Bambu,Semen,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Hasan Santoso,9,1,Tidak Sekolah,Tembok,Keramik,Seng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Tantri Waskita,2,7,Tidak Sekolah,Tembok,Keramik,Rumbia,1.3,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Kamila Fujiati,4,7,S1,Tembok,Tanah,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"Tira Wulandari, M.Farm",9,0,SMA,Kayu,Semen,Seng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Viman Nashiruddin,1,1,Tidak Sekolah,Tembok,Keramik,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Garang Halimah,7,7,SMP,Tembok,Keramik,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Sutan Utama Prastuti, M.M.",3,7,SMP,Tembok,Semen,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Kajen Siregar,9,6,D3,Bambu,Tanah,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Dr. Salimah Najmudin,8,7,S2,Tembok,Tanah,Seng,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Ade Megantara,5,1,SMP,Bambu,Kayu,Seng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan D
"Bagiya Haryanto, M.Ak",7,1,SMA,Bambu,Keramik,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
Saiful Mandasari,8,1,S2,Tembok,Keramik,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Drs. Caturangga Waluyo, M.Kom.",8,1,S1,Kayu,Semen,Asbes,3.5,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Eka Novitasari,2,5,SD,Tembok,Keramik,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
dr. Belinda Tarihoran,2,5,SMA,Tembok,Kayu,Seng,1.3,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Edward Mandasari,7,6,SD,Bambu,Keramik,Asbes,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Rina Lestari,2,3,D3,Tembok,Keramik,Seng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Baktiono Oktaviani, S.Pt",9,7,S1,Kayu,Semen,Genteng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Jasmin Budiman,10,5,Tidak Sekolah,Kayu,Tanah,Rumbia,6.6,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Olivia Namaga,8,0,D3,Tembok,Semen,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Putu Ardianto,9,0,S2,Bambu,Tanah,Seng,1.3,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan C
